ABE,ALB,168
ABE,ATL,692
ABE,AVP,50
ABE,BDL,169
ABE,BOS,259
ABE,BWI,121
ABE,CLT,481
ABE,CRW,364
ABE,DAB,852
ABE,DCA,151
ABE,DTW,425
ABE,EWR,67
ABE,FSD,1110
ABE,HPN,95
ABE,IAD,159
ABE,IAH,1339
ABE,ISP,123
ABE,ITH,137
ABE,JFK,87
ABE,LGA,83
ABE,MCO,906
ABE,MDT,77
ABE,MDW,646
ABE,MEM,883
ABE,ORD,654
ABE,PHL,55
ABE,PIE,970
ABE,PIT,252
ABE,PWM,335
ABE,ROA,335
ABE,SAV,669
ABE,SFB,882
ABE,SRQ,1000
ABE,TTN,42
ABI,AMA,226
ABI,AUS,194
ABI,DFW,158
ABI,IFP,876
ABI,LBB,151
ABI,MAF,151
ABI,SAT,211
ABI,SJT,87
ABI,TUL,339
ABQ,ACT,591
ABQ,ALB,1834
ABQ,ALS,170
ABQ,AMA,278
ABQ,ASE,289
ABQ,ATL,1269
ABQ,AUS,619
ABQ,BFL,704
ABQ,BNA,1123
ABQ,BOI,781
ABQ,BOS,1974
ABQ,BUR,672
ABQ,BWI,1670
ABQ,CHS,1528
ABQ,CLE,1411
ABQ,CMH,1342
ABQ,CNM,230
ABQ,COS,280
ABQ,DAL,580
ABQ,DAY,1272
ABQ,DCA,1650
ABQ,DEN,349
ABQ,DFW,569
ABQ,DRO,159
ABQ,DSM,833
ABQ,ECP,1252
ABQ,ELP,223
ABQ,EVV,1079
ABQ,EWR,1805
ABQ,EYW,1652
ABQ,FAT,744
ABQ,FLG,287
ABQ,FLL,1687
ABQ,FSD,791
ABQ,GEG,1035
ABQ,GJT,301
ABQ,GRR,1253
ABQ,HOU,759
ABQ,HPN,1830
ABQ,IAD,1628
ABQ,IAH,744
ABQ,ICT,542
ABQ,IFP,450
ABQ,IND,1161
ABQ,ISP,1861
ABQ,LAS,486
ABQ,LAX,677
ABQ,LBB,290
ABQ,LEX,1238
ABQ,LGA,1821
ABQ,LIT,817
ABQ,MAF,332
ABQ,MCI,718
ABQ,MCO,1553
ABQ,MDW,1121
ABQ,MEM,942
ABQ,MFR,1012
ABQ,MKE,1142
ABQ,MSN,1080
ABQ,MSP,981
ABQ,MSY,1014
ABQ,OAK,889
ABQ,OKC,510
ABQ,OMA,725
ABQ,ONT,630
ABQ,ORD,1118
ABQ,ORF,1702
ABQ,PDX,1111
ABQ,PHL,1747
ABQ,PHX,328
ABQ,PSP,571
ABQ,RNO,787
ABQ,ROW,169
ABQ,SAF,49
ABQ,SAN,628
ABQ,SAT,609
ABQ,SBA,754
ABQ,SDF,1178
ABQ,SEA,1180
ABQ,SFO,896
ABQ,SJC,870
ABQ,SLC,493
ABQ,SMF,866
ABQ,SNA,650
ABQ,STL,934
ABQ,TPA,1498
ABQ,TUL,608
ABQ,TUS,321
ABQ,TYS,1274
ABQ,VLD,1384
ABQ,YUM,488
ABR,FAR,128
ABR,FSD,153
ABR,MSP,257
ABY,ATL,145
ABY,GPT,300
ABY,JAX,165
ABY,JFK,855
ABY,SAV,181
ABY,TLH,79
ACK,BOS,91
ACK,HYA,31
ACT,ABI,154
ACT,CLL,87
ACT,DFW,89
ACT,IAH,159
ACV,CEC,56
ACV,COS,1040
ACV,LAX,577
ACV,OAK,246
ACV,PDX,327
ACV,SAN,685
ACV,SFO,250
ACV,SMF,207
ACY,FLL,977
ACY,MCO,852
ACY,MYR,466
ACY,PBI,936
ACY,RSW,982
ACY,TPA,913
ADK,ANC,1192
ADQ,ANC,253
ADQ,BRW,946
ADQ,SEA,1439
AEX,ATL,500
AEX,AUS,314
AEX,BTR,99
AEX,CLT,722
AEX,DFW,285
AEX,HOU,200
AEX,IAH,190
AEX,JAN,160
AEX,LCH,92
AEX,LFT,84
AEX,MAF,570
AEX,MLU,87
AEX,MSY,164
AEX,ORD,778
AEX,SAT,374
AEX,SHV,108
AGS,ATL,143
AGS,BHM,277
AGS,CAE,63
AGS,CHS,116
AGS,CLT,140
AGS,CVG,420
AGS,DAB,294
AGS,DCA,468
AGS,EWN,305
AGS,FLL,514
AGS,FLO,141
AGS,GSP,106
AGS,HSV,290
AGS,JAX,199
AGS,MCO,343
AGS,MYR,177
AGS,ORF,407
AGS,PIT,500
AGS,PNS,366
AGS,PSC,2143
AGS,RDU,250
AGS,SAV,96
AGS,TLH,248
AIA,DEN,180
AKN,ANC,288
ALB,ABQ,1834
ALB,ATL,853
ALB,AUS,1577
ALB,BDL,80
ALB,BGM,117
ALB,BHM,946
ALB,BNA,825
ALB,BOI,2121
ALB,BOS,145
ALB,BTV,123
ALB,BUF,251
ALB,BUR,2457
ALB,BWI,289
ALB,CHS,760
ALB,CLE,424
ALB,CLT,646
ALB,CMH,509
ALB,DCA,318
ALB,DEN,1610
ALB,DFW,1435
ALB,DTW,489
ALB,ELM,163
ALB,ELP,1932
ALB,ERI,329
ALB,EWR,143
ALB,FLL,1204
ALB,GSP,706
ALB,HOU,1495
ALB,HPN,116
ALB,HSV,895
ALB,IAD,325
ALB,IAH,1482
ALB,ILM,625
ALB,ISP,140
ALB,ITH,137
ALB,JAX,951
ALB,JFK,146
ALB,LAS,2237
ALB,LAX,2468
ALB,LGA,136
ALB,LIT,1135
ALB,MCI,1115
ALB,MCO,1073
ALB,MDT,234
ALB,MDW,717
ALB,MEM,1019
ALB,MHT,121
ALB,MKE,715
ALB,MSP,980
ALB,MSS,160
ALB,MSY,1267
ALB,OAK,2548
ALB,OGS,157
ALB,OKC,1371
ALB,ORD,723
ALB,ORF,424
ALB,PBI,1163
ALB,PDX,2395
ALB,PHL,212
ALB,PHX,2159
ALB,PIT,368
ALB,PVD,141
ALB,PWM,187
ALB,RDU,544
ALB,ROC,198
ALB,SAN,2445
ALB,SAT,1643
ALB,SAV,837
ALB,SFO,2559
ALB,SJU,1736
ALB,SLC,1960
ALB,SMF,2491
ALB,SRQ,1167
ALB,STL,910
ALB,SWF,87
ALB,SYR,120
ALB,TPA,1130
ALB,TUS,2150
ALO,CID,58
ALO,CWA,206
ALO,DBQ,87
ALO,DSM,96
ALO,MLI,124
ALO,MOB,850
ALO,ORD,234
ALS,DEN,179
ALW,GEG,111
ALW,PSC,42
ALW,PUW,72
ALW,RDM,189
ALW,SEA,213
ALW,YKM,113
AMA,ABI,226
AMA,ABQ,278
AMA,AUS,418
AMA,BHM,861
AMA,BNA,847
AMA,BPT,577
AMA,BUR,949
AMA,BWI,1403
AMA,COS,298
AMA,CRP,570
AMA,DAL,323
AMA,DEN,359
AMA,DFW,312
AMA,ELP,358
AMA,GCK,195
AMA,GRR,1016
AMA,HOU,537
AMA,HRL,665
AMA,IAD,1360
AMA,IAH,517
AMA,IFP,727
AMA,JAX,1207
AMA,LAS,758
AMA,LAX,955
AMA,LBB,107
AMA,LGA,1560
AMA,MAF,228
AMA,MCI,477
AMA,MDW,880
AMA,MSY,758
AMA,OAK,1153
AMA,OKC,232
AMA,PHX,602
AMA,RNO,1035
AMA,SAN,904
AMA,SAT,435
AMA,SJC,1136
AMA,SJT,275
AMA,SLC,679
AMA,SMF,1124
AMA,SNA,928
AMA,SPS,202
AMA,STL,672
AMA,TUL,334
AMA,TYR,413
ANC,ADK,1192
ANC,ADQ,253
ANC,AKN,288
ANC,ANI,318
ANC,ATL,3417
ANC,BET,399
ANC,BRW,725
ANC,CDV,160
ANC,DEN,2405
ANC,DFW,3043
ANC,DLG,329
ANC,DUT,792
ANC,ENA,59
ANC,EWR,3370
ANC,FAI,261
ANC,HNL,2777
ANC,HOM,117
ANC,IAH,3266
ANC,JNU,571
ANC,KOA,2874
ANC,KTN,775
ANC,LAX,2345
ANC,MCI,2762
ANC,MSP,2519
ANC,OGG,2797
ANC,OME,539
ANC,ORD,2846
ANC,OTZ,548
ANC,PDX,1542
ANC,PHX,2552
ANC,PSG,678
ANC,SCC,627
ANC,SDP,557
ANC,SEA,1448
ANC,SFO,2018
ANC,SIT,592
ANC,SJC,2045
ANC,SLC,2125
ANC,SNA,2376
ANC,SNP,767
ANC,VDZ,126
ANC,WRG,708
ANC,YAK,373
AOO,IAD,104
AOO,JST,27
APN,DTW,198
APN,MSP,473
ART,BNA,782
ART,ORD,618
ART,SYR,61
ASE,ATL,1304
ASE,AUS,812
ASE,BOI,571
ASE,BUR,725
ASE,COS,120
ASE,DEN,125
ASE,DFW,701
ASE,DRO,151
ASE,DTW,1248
ASE,EGE,29
ASE,EWR,1729
ASE,GJT,89
ASE,GUC,48
ASE,HDN,89
ASE,HPN,1750
ASE,IAD,1574
ASE,IAH,913
ASE,JAC,363
ASE,LAS,503
ASE,LAX,737
ASE,MSP,802
ASE,MTJ,74
ASE,OKC,574
ASE,ORD,1013
ASE,PIT,1414
ASE,PSP,652
ASE,SAN,730
ASE,SBA,791
ASE,SFO,848
ASE,SLC,292
ATL,ABE,692
ATL,ABQ,1269
ATL,ABY,145
ATL,AEX,500
ATL,AGS,143
ATL,ALB,853
ATL,AMA,992
ATL,ANC,3417
ATL,ASE,1304
ATL,ATW,765
ATL,AUS,813
ATL,AVL,164
ATL,AVP,714
ATL,BDL,859
ATL,BFL,1969
ATL,BHM,134
ATL,BKG,535
ATL,BMI,533
ATL,BNA,214
ATL,BOI,1838
ATL,BOS,946
ATL,BQK,238
ATL,BTR,448
ATL,BTV,961
ATL,BUF,712
ATL,BUR,1941
ATL,BWI,577
ATL,BZN,1640
ATL,CAE,192
ATL,CAK,528
ATL,CHA,106
ATL,CHO,457
ATL,CHS,259
ATL,CID,694
ATL,CLD,1892
ATL,CLE,554
ATL,CLT,226
ATL,CMH,447
ATL,COS,1184
ATL,COU,563
ATL,CRW,363
ATL,CSG,83
ATL,CVG,373
ATL,DAB,366
